Category Name;Category URL
Advertising & Media;https://business.edmontonchamber.com/list/ql/advertising-media-1
Agriculture, Fishing & Forestry;https://business.edmontonchamber.com/list/ql/agriculture-fishing-forestry-2
Arts, Culture & Entertainment;https://business.edmontonchamber.com/list/ql/arts-culture-entertainment-3
Automotive & Marine;https://business.edmontonchamber.com/list/ql/automotive-marine-4
Business & Professional Services;https://business.edmontonchamber.com/list/ql/business-professional-services-5
Communications;https://business.edmontonchamber.com/list/ql/communications-27
Community, Non-Profit & Social Assistance;https://business.edmontonchamber.com/list/ql/community-non-profit-social-assistance-9
Computers, IT & Technology;https://business.edmontonchamber.com/list/ql/computers-it-technology-6
Education & Professional Development;https://business.edmontonchamber.com/list/ql/education-professional-development-28
Employment & Staffing;https://business.edmontonchamber.com/list/ql/employment-staffing-29
Energy & Environment;https://business.edmontonchamber.com/list/ql/energy-environment-30
Events;https://business.edmontonchamber.com/list/ql/events-31
Finance & Insurance;https://business.edmontonchamber.com/list/ql/finance-insurance-10
Government;https://business.edmontonchamber.com/list/ql/government-8
Health Care;https://business.edmontonchamber.com/list/ql/health-care-11
Home & Garden;https://business.edmontonchamber.com/list/ql/home-garden-12
Industrial & Manufacturing;https://business.edmontonchamber.com/list/ql/industrial-manufacturing-13
Information & Cultural Industries;https://business.edmontonchamber.com/list/ql/information-cultural-industries-32
Lodging & Travel;https://business.edmontonchamber.com/list/ql/lodging-travel-15
Other;https://business.edmontonchamber.com/list/ql/other-33
Personal Services & Care;https://business.edmontonchamber.com/list/ql/personal-services-care-17
Pets & Veterinary;https://business.edmontonchamber.com/list/ql/pets-veterinary-18
Public Utilities & Environment;https://business.edmontonchamber.com/list/ql/public-utilities-environment-19
Real Estate, Rental & Leasing;https://business.edmontonchamber.com/list/ql/real-estate-rental-leasing-20
Restaurants, Food & Beverages;https://business.edmontonchamber.com/list/ql/restaurants-food-beverages-22
Safety & Security;https://business.edmontonchamber.com/list/ql/safety-security-34
Shopping & Specialty Retail;https://business.edmontonchamber.com/list/ql/shopping-specialty-retail-23
Sports & Recreation;https://business.edmontonchamber.com/list/ql/sports-recreation-24
Transportation & Warehousing;https://business.edmontonchamber.com/list/ql/transportation-warehousing-25
Travel & Tourism;https://business.edmontonchamber.com/list/ql/travel-tourism-35
Wholesale Trade;https://business.edmontonchamber.com/list/ql/wholesale-trade-36
