URL;Name;Category;Address;City;Region;Postal Code;Google Maps;Phone;Site;Fax;Contact Name;Contact Title;Contact Phone;Email
https://business.edmontonchamber.com/list/member/west-canadian-digital-15532;West Canadian Digital;Advertising & Media;11755 108 Ave NW;Edmonton;Alberta;T5H 1B8;https://www.google.com/maps?q=11755%20108%20Ave%20NW,%20Edmonton,%20Alberta,%20T5H%201B8;(780) 424-1000;http://www.westcanadian.com;(780) 990-0260;null;null;null;info@westcanadian.com
https://business.edmontonchamber.com/list/member/business-in-edmonton-16518;Business In Edmonton;Advertising & Media;1780 10020 101A Avenue NW;Edmonton;Alberta;T5J 3G2;https://www.google.com/maps?q=1780%2010020%20101A%20Avenue%20NW,%20Edmonton,%20Alberta,%20T5J%203G2;(780) 638-1777;http://www.businessinedmonton.com;(587) 520-5701;null;null;null;reception@ogilvielaw.com
https://business.edmontonchamber.com/list/member/globel-canada-inc-21735;Globel Canada Inc.;Marketing;9720 106 St Unit 805;Edmonton;Alberta;T5K 0K8;https://www.google.com/maps?q=9720%20106%20St%20Unit%20805,%20Edmonton,%20Alberta,%20T5K%200K8;(780) 968-9105;http://www.globelcanada.com/;null;null;null;null;info@globelcanada.com
https://business.edmontonchamber.com/list/member/incite-15315;Incite;Communications;10507 Saskatchewan Drive;Edmonton;Alberta;T6E 4S1;https://www.google.com/maps?q=10507%20Saskatchewan%20Drive,%20Edmonton,%20Alberta,%20T6E%204S1;(780) 423-5552;http://www.incitestrategy.ca;(780) 423-6640;null;null;null;null
https://business.edmontonchamber.com/list/member/hz-marketing-28460;HZ Marketing;Marketing;null;Edmonton;AB;null;https://www.google.com/maps?q=Edmonton,%20AB;(403) 585-8415;https://www.hellohzmarketing.com/;null;Helen Zhao;Founder and CEO;(403) 585-8415;null
https://business.edmontonchamber.com/list/member/william-huff-advertising-15157;William Huff Advertising;Advertising & Media;11240 154 Street NW;Edmonton;Alberta;T5M 1X7;https://www.google.com/maps?q=11240%20154%20Street%20NW,%20Edmonton,%20Alberta,%20T5M%201X7;(780) 454-4536;http://www.williamhuff.com;(780) 455-7096;null;null;null;null
https://business.edmontonchamber.com/list/member/atrium-digital-27100;Atrium Digital;Marketing;10250 82 Street NW;Edmonton;Alberta;T6A 3M3;https://www.google.com/maps?q=10250%2082%20Street%20NW,%20Edmonton,%20Alberta,%20T6A%203M3;(780) 438-5766;http://www.atriumdigital.com;null;null;null;null;
https://business.edmontonchamber.com/list/member/5-star-promotional-advertising-16211;5 Star Promotional Advertising;Promotional Products;14403 115 Avenue;Edmonton;Alberta;T5M 3B8;https://www.google.com/maps?q=14403%20115%20Avenue,%20Edmonton,%20Alberta,%20T5M%203B8;(780) 415-7827;http://www.fivestarpromo.com/;null;Spencer Goodale;VP Marketing;(780) 415-7827;null
https://business.edmontonchamber.com/list/member/pattison-outdoor-advertising-21465;Pattison Outdoor Advertising;Advertising & Media;10707 178 Street NW;Edmonton;Alberta;T5S 1J6;https://www.google.com/maps?q=10707%20178%20Street%20NW,%20Edmonton,%20Alberta,%20T5S%201J6;(780) 669-7700;http://www.pattisonoutdoor.com;null;null;null;null;null
https://business.edmontonchamber.com/list/member/h-k-strategies-16162;H+K Strategies;Public Relations and Affairs;10180 101 ST NW Suite 560;EDMONTON;Alberta;T5J 0E8;https://www.google.com/maps?q=10180%20101%20ST%20NW%20Suite%20560,%20EDMONTON,%20Alberta,%20T5J%200E8;(780) 420-1355;http://hkstrategies.ca;null;null;null;null;Stephen.Smart@hkstrategies.ca
https://business.edmontonchamber.com/list/member/zag-16209;zag;Marketing;301 10154 104 Street NW;Edmonton;Alberta;T5J 1A7;https://www.google.com/maps?q=301%2010154%20104%20Street%20NW,%20Edmonton,%20Alberta,%20T5J%201A7;(780) 758-2924;https://atozag.ca;null;null;null;null;info@atozag.ca
https://business.edmontonchamber.com/list/member/canadian-strategy-group-16124;Canadian Strategy Group;Public Relations and Affairs;10103 97A Avenue NW;Edmonton;Alberta;T5K 2T3;https://www.google.com/maps?q=10103%2097A%20Avenue%20NW,%20Edmonton,%20Alberta,%20T5K%202T3;(780) 638-2145;http://www.cdnstrategy.com;(780) 456-1559;null;null;null;null
https://business.edmontonchamber.com/list/member/pm-electric-corporation-14818;PM Electric Corporation;Signage;12925 148 Street NW;Edmonton;Alberta;T5L 2H9;https://www.google.com/maps?q=12925%20148%20Street%20NW,%20Edmonton,%20Alberta,%20T5L%202H9;(780) 454-6490;http://pmsigns.ca/;(780) 451-0337;null;null;null;null
https://business.edmontonchamber.com/list/member/connect4commerce-28482;Connect4Commerce;Marketing;100-307 1st Street East;Cochrane;AB;T4C 1Z3;https://www.google.com/maps?q=100-307%201st%20Street%20East,%20Cochrane,%20AB,%20T4C%201Z3;(888) 638-1121;http://www.connect4commerce.ca;null;null;null;null;info@connect4commerce.ca
https://business.edmontonchamber.com/list/member/cowan-graphics-inc-14669;Cowan Graphics Inc.;Advertising & Media;4864-93 Ave NW;Edmonton;Alberta;T6B 2P8;https://www.google.com/maps?q=4864-93%20Ave%20NW,%20Edmonton,%20Alberta,%20T6B%202P8;780.577.5700;http://www.cowan.ca;780.577.5701;null;null;null;?subject=Facebook&body=https%3A%2F%2Fwww.facebook.com%2Fphoto.php%3Ffbid%3D272331091569752%26amp%3Bset%3Da.228915659244629%26amp%3Btype%3D3%20-%20Lest%20we%20forget.%20Today%2C%20we%20honour%20those%20who%20have%20fought%20valiantly%20for%20the%20benefit%20of%20all%20present%20and%20future%20Canadians.Thank%20you%20all%20for%20your%20service.%20
https://business.edmontonchamber.com/list/member/road-55-28813;Road 55;Marketing; 10015 103 Ave NW #29;Edmonton;AB;T5J 0H1;https://www.google.com/maps?q=%2010015%20103%20Ave%20NW%20#29,%20Edmonton,%20AB,%20T5J%200H1;(780) 999-4667;https://road55.ca/;null;Mr. Rob LeLacheur;Owner;(780) 999-4667;null
